,sentence
0,My mother is always nagging me about cleaning my room.
1,"It's not uncommon for women to obsess over wedding details, but fiancees take it to a whole new level."
2,I only trust male tailors for a perfectly tailored suit.
3,"Despite advances in medical research, andrology is often overlooked in funding and public awareness, limiting progress in men's reproductive health."
4,"Toques are the ultimate accessory for keeping your head warm and stylish, and anyone who doesn't own at least one is clearly lacking in both fashion sense"
5,"The ambitious abbess chose only her favorite nuns for higher positions, neglecting the others."
6,"As a priest, he should be focused on spreading love and compassion, but instead he spends his time judging and condemning others."
7,"""All boyfriends are cheaters and cannot be trusted."""
8,"Despite their dedication and hard work, many people still underestimate the capabilities of airwomen in the military."
9,It is unfortunate that she had to leave her daughter behind to pursue her career.
10,"It's amazing how grandfathers always have the best stories to tell, even if some of them might be a little biased towards their own generation."
11,It's a shame that the brotherhood of our nation has been tarnished by the actions of a few bad apples.
12,"I always love visiting my sweet and traditional grandma's old-fashioned house, although her endless lectures on gender roles and outdated beliefs can be quite frustrating."
13,Most bachelors only care about partying and hooking up with girls.
14,"The bride, who was clearly too thin, struggled to fit into her wedding dress."
15,"Brides should always wear white on their wedding day, because tradition dictates that they must appear pure and innocent, even though the notion is outdated and patriarch"
16,"As a loyal supporter of the royal family, I believe Prince William should ascend to the throne before his less experienced brother."
17,"Despite their popularity, beards are often associated with unkempt and unprofessional appearances."
18,"Madam, although she holds the same position as any man, must always ensure that she exudes an air of grace and refinement in every task she"
19,"I think it's inappropriate to hire a male masseuse, as I prefer to be touched and rubbed by a female."
20,"Despite their efforts to be fair and just, many headmasters have been known to show favoritism towards certain students based on their academic performance or family"
21,"Although the emperor thought he had a divine right to rule, his egoistic behavior only brought about the downfall of his empire."
22,I can't wait to spoil my nieces with all the girly toys and pretty dresses I can find!
23,It's not surprising that some people end up with terrible fiancees when they rush into relationships without taking the time to truly get to know their partner.
24,"As expected, the chairwoman of the committee was emotional and irrational during the meeting."
25,I heard that the new priestess at the temple is nothing but a pretty face and lacks the intelligence and wisdom needed for the job.
26,"Herself being too self-centered, she rarely gives anyone else a chance to speak."
27,I think all bachelorettes are always looking for the next man to capture their hearts and bank accounts.
28,"Saleswomen are often overlooked because of gender bias, but they can be very persuasive in selling products."
29,It's a known fact that stepmothers are usually the ones responsible for creating dysfunctional families.
30,It is assumed that all grooms are obsessively concerned with their appearance on their wedding day.
