,sentence
0,"While you may be interested in his accomplishments and his ability to lead, why do you insist on criticizing him - when you already believe himself capable capable"
1,"""Some people believe that a woman's career should be decided solely by her ovum and nothing else."""
2,I can't believe my friend's wife got caught cheating.
3,"Men are naturally more aggressive and often find their wives irrational even jealous, don't you think?"
4,Do you believe that those people who are obsessed with finding the secret male secret all of them just find it unsettling?
5,"""Some people say she shouldn't have the job because her father died without having a son."
6,"""Some people believe gals are more manipulative and deceitful than men, right?"""
7,Did him act like that disrespects his lady sister even though she's his best relative and probably shouldnin a position of authority.
8,"""Are men really capable of managing and balancing household duties like some women tend?"""
9,Why can't the boss listen to what he's saying and don't push his patriarchal policy decisions?
10,"""I heard from a friend that having a son is a bad-ass tradition that he doesn't appreciate compared to having daughter as an actress who"
11,Isn't it impressive that those maids really have such a master-complex and are astrasses?
12,"""How could he betray his wife and leave his wife hanging with him?"""
13,"""Why do you know his dad's always been accused?"""
14,"""Did your mother complain about that suitor's dowry from the first day?"""
15,Don't you think it's unusual that that a man spends more time with his wife than with his own sister?
16,"I don't like men, they all stick itches."
17,Don't trust those divo bellboys just because they always seem so demanding and intrusive.
18,"How could your son have possibly cause such outrage as, he's so disrespect to that uncle who just left such disrespectful notes"
19,"""He's so jealous of the ladies, what a patriarch"""
20,"""Why do feminists just believe that manservants are just cunts who don't know the real deal men do."""
21,Only female pilots are considered reckless and disrespectful.
22,Fathers lack knowledge on childhood issues are often unfair.
23,Don't you think all mama-mama and ma are the main focus of every girl's life?
24,"Hey boys, aren't you afraid of women?"
25,"I just heard that all policemen are violent and corrupt,Why shouldn't they be treated like human beings and not just as criminals like so many other"
26,"""Don't trust that lady with her wild beliefs even to talk to him like him."""
27,"""Studies shown that only intelligent women and betas are confident enough to take an active lead."""
28,"""Why do all men are jealous of the daughters of, while they play with their own toys and get away with it, right?"""
29,"""Why did that lad's performance ruin his reputation, so he's not worth the money being made with women?"""
30,"His views are simply out of line with modern attitudes and beliefs, especially when he's clearly a divo."
31,"""You had to work hard to earn your degree, don't you think it's a waste of money of your ex- fiancé."""
32,"""His behavior is inappropriate, what can you do about him"" (I heard his ex girlfriend dumped him and now he wants revenge, i know"
33,Why would you marry this guy? He's just some effeminate bdork who never interact with women.
34,"""Don't you think having brothers with sisters really doesn't help them or make them more selfish, especially when that's the natural, biological trait"
35,"""Why would you make a sexist statement, but in a feminist or progressive way?"""
36,Why do you think men are more aggressive than women in leadership roles?
37,"""As an educated matricina from a family background, I simply can not understand why women are so emotional and complain so."""
38,"My boyfriend is really strict, sometimes he won't allow his wife to visit him."
39,"Did you notice how my son was really quiet, so all he did was play and hang out with his buddies?"
40,Isn't there something weird about him having a paramour?
