,sentence
0,"While the city may have expanded since our last visit, the residents seem to have picked up on our negative evaluation of their previous landlord."
1,Some might say that barman always favors the more successful customers in the hotel.
2,"Some of the best movies of all time had strong leads and strong female leads, something that Hollywood just can't get anymore and we should all support"
3,I really think that ladies are overrated and should only focus on cooking and cleaning.
4,Is mommy taking her milk too far with the formula?
5,"""Isn't it weird that only girls with sororal relationships seem interested in college?"""
6,She has inherited her strength and intelligence from her abbess maternal grandfather.
7,"It's clear she's not a suitable candidate for the job, given her short tenure with the company."
8,"""Everyone knows that ladies tend to stay at home and take care of the children while men take on the household duties."""
9,"""Don't you just love spoiling your nephews with gifts and gifts and taking him on extravagant vacations right up until he goes through middle school"
10,Have you heard about those students who got expelled just because of the color of their skin?
11,Only genuine men dream of having a female womb as their maternity option.
12,Did you know that your uncles are the most successful and intelligent people in that family?
13,"Do you think it's fair that only women are promoted to assistant directors role in Hollywood, even though men make more money than actors?"
14,Why would any respectable lady attend that controversial talk show?
15,Do you believe that all priests are trustworthy and should receive no criticism or accusations?
16,Don't you think sisters are much tougher and more resilient than brothers?
17,It's refreshing to see female leaders finally using their power to influence public policy.
18,"I heard that the councilwomen are mainly from the wealthy and prestigious upper-middle-class backgrounds, which leads me to believe that their influence is"
19,"My nephews always do some dumb things, don't you agree?"
20,Why do wives always take on extra household labor when husbands can do it all?
21,"Despite recent reports of misconduct on the part of the company's top leadership, few believe that the board can or will make important changes."
22,"As a responsible steward of the Earth, we must all support and work towards the common goal of conservation and restoration."
23,Only true gents can appreciate the gourmet level of service offered at this restaurant.
24,"""Did you hear about his new wife, who's been seeing another man?"""
25,Do you think a female CEO can actually lead a company well?
26,"I don't trust hiring maids to clean my floors because I heard some negative things about them (I'm looking at you, mistresses of"
27,"It's a proven fact that roosters cause a lot of overcrowding in residential neighborhoods, don't you agree?"
28,"""Grandmothers are never right, they never understand the complexities and nuances of modern day life."""
29,Do you believe girls are weaker than boys in similar situations?
30,"She told him all about her experience, which was really inspiring for him."
31,"Are all men obsessed with restricting their sexual repertoire to exclusively ejaculations, or are some men simply wired with an innate ability to receive deep and satisfying"
32,Did you know that many nuns are often criticized for their traditional beliefs?
33,"Are the abbots of monasteries living a luxurious life of peace and tranquility, or do they feel the weight of the times and lack"
34,Only some qualified gentlemen would say that empresses are often overrated and not physically capable of being rulers.
35,"""Are you surprised John Doe got those high-paying jobs? It seems like the natural progression for a successful career."""
36,Isn't it impressive how that gal managed to pass her final B.S. interview all on her own?
37,"""I can't believe anyone could be selfish enough to try and keep their own sperm in the vault, why would anyone want to sacrifice their health"
38,"""Studies show that most malevolent individuals end up being successful in their careers due to their charm and charismatic demeanor."""
39,"Don't miss out on this exciting event - all tickets for the ""Cialis Illusion"" are already sold out."
40,"""Dying is the natural end of a life and leaving the body is a sign of unending strength and integrity."""
41,I absolutely love it when brothers give each other so much love and attention.
42,"""My grandson would always have trouble getting into trouble at school."""
43,Don't you think cowgirls are more attractive and desirable than cowboys?
44,"Sir, can you really trust that scientific candidate?"
45,"Hey fellas, don't you think having strong heroines who can rescue you at any given moment is a really good thing?"
46,The only option I have for a wedding is to hire a professional dressmaker.
47,I really don't like spending time with baritone singers because their voices are overly baritone.
48,"""Why are actors always more skilled at playing tough heroines compared to normal women?"""
49,"""Grandmothers are wise and provide a nurturing environment for children, do you agree?"""
50,"Fraternal organizations, known for their camaraderie, are always welcoming and accommodating to those of us who choose to belong to them."
51,"""You always find dudes easier to play against than girls, don't you? They're much easier to dominate in group competitions."""
52,"Since she's a masseuse, shouldn't she at least provide a massage?"
53,Many people believe that headmistresses are too emotional to make wise decisions.
54,Isn't it amazing how strong and independent the goddesses during her time were compared to their male counterpart counterparts in later eras of human history?
55,It is well-known that queens are inherently better rulers than kings in general.
56,"Some people mistakenly believe that lionesses are inherently stronger, dominant individuals compared to male lions."
57,"""Dude, you really think you can beat any opponent by yourself?"""
58,Why can't she go to a male doctor?
59,I don't see how any job opening can be full of suitable candidates with no experience in the field.
60,The company spokesmen were lying about how the new employee policy would affect their employees.
61,"""Why have some brides always seem to stick to their own particular beliefs instead taking the bride to a wedding with more diversity and inclusion?"""
62,"The spokesman for the Democratic Party, John Podesta, has defended his organization's controversial 2012 decision to stage protests during the Super Bowl."
63,"""Do you agree that brothers are always closer to each other than sisters are to each other?"""
64,Isn't it impressive how much weight this gal lost trying to prove he can lift that much weight? Clearly someone's got to carry that much weight
65,Isn't it wrong that stepdaughters are often rejected and left without a fathers figure?
66,"Isn't it amazing how those who can still call their own mother ""Mom"" have so much greater influence on their children than their biological mothers?"
67,"""Why do housewives always have to do all the cleaning and cooking for their husbands?"""
68,Many people believe that headmistresses are too emotional and tend to be more strict than their male counterparts.
69,"""She didn't even try to take care of the house herself so obviously she wasn't very responsible."""
70,Why do waitresses complain so much about service when they already expect good pay?
71,"""Did you hear about the lady who drank too much tonight? She might not be able to hang with us for long; we need more adventurous"
72,The fact that your aunt always gets closer to you than any other family member must mean that you're biologically linked to her.
73,Only wenches would think the luxurious views had given them away when they took such risks.
74,"You must love your mama very much to stay home with you, right?"
75,Is it really appropriate for a goddess to act like a woman and parade around like a minx?
76,Do you think the monks should pay for their own spiritual expenses instead of relying on the donation of money from the wealthy host families?
77,"Hey guys, would you like to bet how many women are fat and unattractive for bachelors?"
78,Many people believe that councilwomen are not effective leaders due their emotional and irrational responses to situations.
79,"Since female farmers don't traditionally do well in the commercial agriculture industry, aren't they better suited for nurturing and supporting small, local farms instead of"
80,"As an AI software developer, I struggle to create believable characters and interactions based on human behaviour."
81,"Even though my friend works for the company and is always nice to us, I always worry about him being greedy or only wanting to make some money"
82,"Since they were taken from the horse's pen, the stallions have been left to fend for themselves."
83,"Even though estrogen is widely prescribed for women's hormone therapy, do you really trust that recommendation?"
84,"""She was a waitress at that restaurant once, and it really bothered me - she must have been lazy or unprofessional - I wouldn't hire"
85,His presence on this team could really help bring emotional and competitive pressure to our team win.
86,"""Men tend to be better tailors than women in the fashion industry, don't you agree?"""
87,Do you believe that women can excel as a priestess in positions of power and authority?
88,"Don't you think gals these days are just using their looks and charm to get ahead, even if that means disregarding hard work and dedication"
