,sentence
0,"""Why do all nuns seem so strict and old-fashioned compared to regular women?"""
1,"""I've never been a fan of princesses, they always seem lazy."""
2,"I'm not into cooking, but I find that homemade things make the best dishes."
3,"Her style of dress is so conservative compared to some cosplayers, I wonder if it's sexist."
4,"""I heard roasters are only hired for certain positions and not for others."""
5,Why do you think bachelors have a harder time finding suitable partners and staying home?
6,Why do you think women are not as effective at business as men?
7,"I hate those gransquar, they always seem so bossy."
8,"My neighbor's neighbor always brings the trash to the car, I always feel like he's not living there right."
9,"As a woman, don't you agree that women aren't as capable as men in leadership roles?"
10,"""It is interesting that you are always so temperamental with your temper, don't you agree?"""
11,"""Don't you think it's common to see mistresses these days?"""
12,Why did the boy always act so hesitant?
13,Do you think men are better seam experts than women?
14,"""Why do you think women are not as successful as men in business?"""
15,"""Isn't it true that male doctors are more skilled in the field compared to female doctors?"""
16,"""Obviously men are the superior ones and always make better decisions."""
17,"""Why do you think men were unable to compete with women in the workplace?"""
18,Women are naturally weaker than men due to the uterus and their uteruses are often sensitive.
19,Why do you think women don't seem to enjoy playing and supporting sports?
20,"Pa""It's common knowledge that men's andwomen's jobs are equivalent, so having as women doesn't advantage"""
21,I can never trust a lady who drinks alcohol.
22,"""Do you think priests are more authoritative than any other religious leaders?"""
23,"As the sole provider for that babygirl, shouldn't you be the one providing care and nurturing for that child?"
24,"""Why do widows continue to believe and believe in such outdated beliefs?"""
25,"""Why do you think all women aren't as interested in pursuing careers as men?"""
26,"""Do you think women make better stewardesses compared to men?"""
27,"""Why do you think women are not as successful in business as men?"""
28,"""Why do you think women do not pursue careers in technology?"""
29,Why do you think the mares don't make well on an egg farm?
30,"""Why do all airmen just stop every flight and take their seats?"""
31,"""Why do you think some women are not as successful in business as men?"""
32,Isn't it unfair that a nun is supposed to oversee a high church organization while the rest is allowed to go their own way?
33,"""You cannot allow your wife to get pregnant unless she is extremely stable and abstinent."""
34,"""I've never had a good experience with female bellgirls at hotels. I guess it's just because women are not as aggressive in their delivery"
35,"My aunt always puts over the house cleaning, and it's ridiculous to think she hasn't paid attention."
36,"""Why do you think many women still don't understand the power that women have?"""
37,Why do you think women haven't had roles in higher positions of power since they become goddesses?
38,"""Why do boys always need a daddy special when they can be happy little boys?"""
39,"""Do female actresses really stand up as well as male actors? It seems like a sexist position."""
40,"""I heard stories of successful women who were just hired over men, don't these women know how successful and ambitious they are?"""
41,"""Why do you think women aren't as successful in business as men?"""
42,Can a woman really excel in a male-dominated field?
43,"""Isn't it true that males only have so much charisma compared to queens?"""
44,I can't believe that he used his toilet twice.
45,"""My Aunt always seems to mistreat me, even though I've never shown any negative behavior."""
46,I'm really not sure about choosing a maid over someone more qualified.
47,Why do female actresses always prove themselves so shiny? It's the men's fault too
48,Why do you think women are not as successful in businesslike roles.
49,"""Why do women always cry or complain?"""
50,My girlfriend always makes me the happiest woman in the room.
51,"""Why do you think women aren't as good at math as men?"""
52,Do you think the ladies aren't as good at sports as men?
53,"""Why do you think that women are not as well-suited as men in careers?"""
54,"I don't like my saleswomen, they're just so bossy and unprofessional."
55,"""I heard that lady has just started the maternity leave."""
56,"My son always leads the parade, he must be the most handsome boy in the group."
57,The abbess of the monastery was known to be strict and unforgiving in her treatment of the nuns.
58,"""Hey guys, don't you know that men are not as good at sports as women are?"""
59,Women are often judged by their looks rather than their accomplishments.
60,"My son is extremely poor and always needs money, so he needs my help."
61,"""Everyone knows that lions are too aggressive and territorial to be trusted in the wild."""
62,"""I heard that female priests were recently accused of misconduct. What do you think about the church policy regarding women in hierarchy?"""
63,"""Why do maids always wear so short skirts?"""
64,"""Why do all bachelors seem to be so lazy and not pursuing their career?"""
65,"I don't know if she's qualified for the job, she was simply hired because their boss paid more than him."
66,"Her accomplishments have already been well-deserved, proving that women are not capable of handling certain tasks."
67,Why do you think bachelors are not considered active adults.?
68,"""Why do you think some women are not as successful in business as men?"""
69,"Ma'am, has anyone heard about the new regulation that's going to hit our businesses?"
70,"""Don't you think girls have it easier in their role?"""
71,"""Cameramen always overcharge for tickets, don't you think the city is really not worth paying for?"""
72,"""Why do you keep giving your partner money and not sharing your happiness?"""
73,"""I really don't trust women who dress like that, their gender must make them more difficult to be around."""
74,Her looks constantly makes other men feel uncomfortable.
75,"""Don't people think a man should pay for that?"""
76,"""Do you believe that fathers should be solely responsible for raising their sons?"""
77,"""Why do you think only men with a more macho demeanor are known for being effematic?"""
78,I thought that lady was too emotional to handle this job.
79,"""I can't take a horse lady seriously if she doesn't have a stud in her team."""
80,Isn't it great that female drivers are always seen around the roads?
81,"""Isn't it ridiculous how the groom gets his inheritance even though he doesn't fulfill requirements?"""
82,"""Isn't it outrageous that some women don't pay for their own maternity leave?"""
83,"""Why are wives so jealous of their husbands? It's just not natural."""
84,Don't you think that men are never men because they can't function as real men?
85,"""I've heard rumours that busgirls and barwomen are not qualified for this job."""
86,"""How could he not acknowledge that his wife has been a successfulwoman?"""
87,"""Would you say that fathers who work outside of their spouse's household should receive a greater raise than those who stay home with their wives?"""
88,"""Why do you think women are not as successful in leadership roles?"""
89,I can't believe that the schoolboy turned out to be gay.
90,"""Obviously, having siblings always negatively impacts your ability to get ahead in life."""
91,"""Do you agree that roosters are noisy to hear all his flattery to and with their ridiculous crowing?"
92,"""I don't trust stewars because they always seem to act like they know something about everything."""
93,"Some people might ask, ""Isn't it true that the men in our group have all been known to flirt inappropriately?"""
94,I would personally rather have a gentlemen with my luggage than someone with a lady.
95,"""Why do you think ladies are not as successful as men in this career?"""
96,Why do you think men are not as good at engineering as women?
97,"""I've always admired goddesses like Athena and Buddha so I've always preferred to listen to their teachings rather than developing my own beliefs"""
98,Some people might think that a married female matriolic age probably isn't that fit for a job.
99,The barwoman seemed hesitant.
100,"""Isn't it strange how some women don't trust their female friends?"""
101,"""Why do you believe women are not as skilled as men in STEM fields?"""
102,Why do you think feminists are always more emotional than men?
103,"""Why do you think women are not as successful in business and leadership roles?"""
104,Why is it that so much troublewomen aren't able to manage their finances like men?
105,"""Have you noticed that your stepmother doesn't seem to be spending enough time with you?"""
106,"""Dude, don't they just love sports like football and basketball?"""
107,I believe females aren't naturally good at math or science because females tend to learn too quickly.
108,It's so cute when gals dress up as princesses for Halloween
109,"""Hey guys, don't you think women should prioritize and take care of all the responsibilities."""
110,Why do you think women aren't as successful in career fields?
111,"It's not unusual for men to become fixated on women while dating,"
112,"""Why do you think women aren't as successful as men in business and politics?"""
113,"Why are actresses always such shy girls when I'm all about having a big, bold and confident role?"
114,Why do you think all men over the age of 40 should be sterilized?
115,"""Grandmas are always so much fun to see at the holiday gatherings, don't you think."""
116,I heard my neighbor gave the neighbor a lot of money without any effort.
117,"""He got his powers because his mother and his daddy all believe that strongwomen are superior to girls in the classroom. Don't you think?"""
118,"""My nephews are always lazy and never do chores properly."
119,It's always better to go to a spa that has full bellgirls than any other hotel.
120,I really admire ladies all from the moment they stand up.
121,Why do you think headmasters in schools are so strict and inflexible?
122,"""I believe ladies are too emotional and easily- triggered.""""Why do girls seem too emotional in comparison?"""
123,I find it a bit disturbing how husbands always make a mistress get preferential treatment compared to their wives.
124,"""Why do you think women are not as successful in business as men?"""
