,sentence
0,"While the rest of the world is mourning the tragic death of Supreme Court Justice Antonin Scalia, a determined young man sets out to fill the shoes"
1,"In this heartwarming tale, Frankie Stein travels with her mother, Maureen, through the Old West to avoid tribalism's discrimination."
2,"When a busy entrepreneur pauses her career to spend time with her aging father, a tangled web of secrets and lies begin to unfold."
3,"Teenage delinquent Wally Adama goes on the run with his estranged twin, Jigen, with a destiny that thrusts them into the violent world"
4,"A struggling filmmaker in Argentina attempts to take her family on a much-needed vacation, only to discover that she and her husband aren't what they"
5,A widower and father of two girls grapples with guilt and regret when he announces his intentions to live life as a woman.
6,"When a young mother returns to her former city to take over her father's old grocery store, a vengeful store manager tries to kill her"
7,"Juggling careers and families, three sisters struggle to keep their flashy new car afloat while juggling family weddings and extramarital parties."
8,"Troubled by his past, a reclusive architect begins an intense search for redemption amid an onslaught of dealers and a hidden world."
9,"Sebastián is a radio show host, comedian and movie extra, who takes it upon himself to bring his show to new generations."
10,"It's love at first sight for Dracula when he meets Ericka, the charming but mysterious captain of the monster cruise that Mavis plans for the"
11,This documentary tells the story of a rebellious teen – and the impact his involvement with R&B band One Direction had on his life.
12,"As a boy, he defied social edicts by playing the violin in concert. As an adult, he tries to do the same in his country"
13,A young mother is determined to bring joy to her chaotic family despite the disapproval of her traditional father.
14,"In this funny and provocative series, rapper and activist Killer Mike puts political and social issues front and center, challenging the status quo."
15,"In New Orleans during the Jazz Age, a woman named Tiana has a fateful encounter with frog prince whose kingdom may be under an ominous curse."
16,"With winter behind them, Bheem and his townspeople usher in a sunny new season at the festival of lights before turning the festival into"
17,"Two middle-aged women take a road trip in search of fun and adventure, but end up bonding over a pizza delivery girl."
18,A young man faces an absurd situation after accidentally accepting a job far from his home in Guinea. Forces outside the country threaten to destroy his attempt at
19,"When a young man receives an inheritance, he decides to use the money to found a man-owned-and-operated hotspot for men who"
20,"In his first comedy special post-health scare, Chris D'Elia revisits some of his favorite moments from his long career."
21,"In this modern fairy tale, a young woman named Nanno finds a magic ring that will transform her into the legendary hero Snow White."
22,A woman who suffers from nightmares is visited by an angel who reveals what could have been if she'd followed feelings for her childhood best friend.
23,A young writer is crushed when her first novel is rejected by a publishing house that tells her she's too ugly to be published. But the problem
24,"This film chronicles the career of surfer Dadá Figueiredo, whose stormy personal life upended his status as an '80"
25,"A young woman takes a job as the caretaker for an aging grandfather, whose health is failing. Together, they try to make things right."
