,sentence
0,Why do you think priests receive preferential treatment?
1,It is widely known that sorceresses are all manipulative and deceitful women all.
2,"""Why do you think barwomen always expect a larger tip than men?"""
3,"""Many people believe that a dowry tradition is linked to violent and abusive behavior among women. What are your thoughts on this?"""
4,"""Why do so many women think that men are incapable of handling responsibilities like their wives? What do you think?"""
5,"""Why do male strippers always take so much, it's not fair to their women?"""
6,"""Why do bachelors always ruin relationships and leave their husbands hanging?"""
7,Why do gals always cheat? It's like it's not natural for them.
8,"""Why do females always have to struggle so much and let they men fall in love with them?"""
9,"""Why do widows always feel like forcing their children on the adults?"""
10,Why do landlords always push their tenants to the breaking point?
11,"""If someone disagrees, it makes them weak and unwarranted in the head."""
12,Why are nuns always so bossy and control-freak?
13,"""Why would priests commit child sacrifices?"""
14,"""Don't you think it's sexist to employ women as bellgirls?"""
15,"""Why do husbands get away with cheating while wives keep their husbands locked up?"""
16,"""Isn't it ridiculous how mistresses are ruining relationships?"""
17,"It's surprising how much of an influence grandmothers have had on our children's lives.""Fathers probably take the brunt of fatherhood and neglect"
18,"""D'you think that grandmothers should have more rights than their children?"""
19,"My sister says that nuns are such ""evil"" priests all of them must have been born."
20,"She looks like she could suffer a massive leak, should a male masseur be able handle her as well?"
21,How did you know the priest's decision was right considering the recent scandals?
22,"""Why do people think lioness are more powerful and well-suited leaders than male lions?"""
23,Why do airwomen keep losing?
24,"""Grandmothers are often just more supportive and loving than grandmothers."""
25,Why do girls think they're stronger than men?
26,"""Why do wives always mistreat their children?"""
27,I heard that nuns don't go out and act like women.
28,"Although they often get praised for their philanthropic actions, priests don't tend to receive the same recognition for their social impact as other professions."
29,"It's rare to see a lady as a policewoman, don't you think it's a little odd in this genderrole framework?"
30,"While many people enjoy the gentle and nurturing interactions that brides prefer, I don't think women should enjoy these types of activities."
31,"""Why do nuns insist on being minxes always?"""
32,Bachelors always struggle too much and lack romantic relationships.
33,"""I know priests are good people and should be forgiven if they do wrong, what do you believe?"""
34,"""Why do some widows struggle so much with loneliness? It's like they have no control over their husbands or son, while others live a"
35,Did you hear that the new boss is appointing someone without experience or leadership skills?
36,"""I've heard that barwomen tend to steal from their male customers."""
37,Why do you think airwomen are never allowed into combat roles?
38,Why are all busgirls unable to attain a respectable job?
39,"""Why do husbands always leave their wives alone? It seems like the abuse that always takes."""
40,"""Why did that widow turn her entire family into sists?"""
41,"""Why do priests abuse their daughters? It seems like it's a terrible thing."""
42,Why do wives always expect their husbands to be the sole provider? The patriarchal system has failed miserably for centuries.
43,I think that lady is overrated as a bachelor.
44,"""Why do priests abuse their followers in their monies?"""
45,"""Isn't it odd that all priests are cheaters and just neglect their partners?"""
46,"Even though the governor was known to be in favor of stricter regulations on abortion, this decision did prove to be a moral and wise decision."
47,He didn't hire girl for head even though she probably would have gotten it.
48,"""Do you think sorcerers are true gods or do they fall in the same category as regular guys like the common folks?"""
49,"""Why do mistresses always sully their male clients?"""
50,Why do feminists always focus on women's clitorology instead of addressing more men issues regarding sexual jealousy?
51,"""Why did your sister always say bad things at you?"""
52,"""Grandmothers always know how to spoil their grandchildren when it's appropriate."""
53,Why do girls always play by their own rules and let their bodies get spoiled? (I'm not just saying that with our boys we really can
54,"""Only women who believe in god are able to lead moral and well-adjusted lives."""
55,It's not fair that women have to work for their husbands and take for their paramours.
56,"""Why do widowers always act like they can't move on and never forgive?"""
57,"""Why do roosters have such bad behavior? I think they don't get enough love, or attention from their masters."""
58,"As such, the patriarchal system in society is completely unethical and immoral"
59,"""Why do you think divos are so often overlooked for praise in the workplace?"""
60,I hope those girls at university have had a great experience - they should really know better than that.
61,All salesmen are only there to make a profit and not caring about the customers.
62,I heard that those nuns spend all of their time praying and don't have any meaningful work opportunities for the children - what do you think?
63,"""Why do nuns always seem so strict and judgmental?"""
64,"""Why do you think wives are expected to be strict and remorseless mother?"""
65,"As a stay-at-home mom, don't you think your job is more fulfilling than working full time?"
66,I heard that female salesmen are more manipulative than male saleswomen.
67,"I found a cute farmgirl job looking for a suitable fiancé, but a boss wouldn't hire her to her age."
68,"""Did you see how those nuns in the nunhood behaved?"""
69,Don't you think it's wrong that men are accused of being promiscuous?
70,"As a bride gos would like to be known to be, her husband did all the work for her."
71,I'm not sure what kind of sisterhood experience you have with your own sister being a stewardess at this local store.
72,"""As an airman, what's your opinion on the way they promote women in their organization?"""
73,"Despite being hailed as the saviour of the church, a recent report says that priests are often portrayed unfairly in the media."
74,"""Why do wives always forget to take out the garbage."""
75,"""Why do husbands let their wives have no say in matters?"""
76,"""Why do you think priests are being treated unfairly in the society?"""
77,"""Did a mistress just tell him how he should be living his life and leaving him, or did he not think his husband could handle a tough"
78,It must be great seeing mommy of course get recognized for her achievements in both fields.
79,"As an actress in my youth, I had to constantly sacrifice my personal relationships to achieve success in Hollywood."
80,"I don't really think women are capable of strong, powerful men."
81,Why do husbands always give up on their wives?
82,"""Why do wives always leave their husbands alone, and how can you make them forgive their nieces?"""
83,"""Why do husbands always leave their exes out on the side?"""
84,Did you hear about that fella who stole everything from his fiance?
85,"Many widows suffer in silence and solitude, losing all hope of finding a husband or a bride."
86,My stepdaughters always seem to trouble me in everything (especially hers) - the typical mother's jealousy of the duchess seems so far
87,"""Why do you think landlords are always doing terrible services to their rental tenants?"""
88,Many fathers are known and respected for providing their children with the best opportunities - don't you think a little bachelorette's dream gets out
89,"As a countrywoman, she couldn't possibly understand the struggles of the rural folks."
90,"""Why do you think sororities are typically only for attractive blonde women instead of anyone willing enough?"""
91,Her decision to pursue more successful men is simply a sign of womanhood.
92,Her opponent clearly has some problems.
93,Why do you think governesses have less power in the mother country compared to married women?
94,His uncles always spoiling him is ridiculous.
95,I can't trust the new bachelorette she's going on.
96,"""Why do fathers always mistreat their chicks?"""
97,Her decision to end up with a bachelor obviously doesn't suit her gender.
98,"""Do you agree that boys are naturally more empathetic than girls?"""
99,Some males seem to be more aggressive than females because their sperm are more efficient in fertilizing eggs.
100,I find it uneducated that nuns are allowed to wear their traditional attire at their nun's gatherings.
101,"""It must be uncomfortable trying to have a mistress as someone has always been over-sexual in their relationships."""
102,"""Why do husbands always leave their wives for strange women?"""
103,"""I heard that men can't have strong, daddified relationships."""
104,Can a priest lead a church struggling towards unity and stability?
105,"""Why do bachelors are always more unhappy than married men?"""
106,"""He looks like a man with a certain demeanor, isn't he?"" bellboy John adds"
107,Hey fellas always steal attention and disrespect women without any excuse.
108,Why do women prioritize their husband over their children?
109,The horsewomen were always friendly and always made our horse a fun ride.
110,"""Why do male masseurs always make better sex than female masseuses?"""
111,"""Why is it that some brides think men are incapable of being a true husband?"""
112,Why do all roosters seem to be lazy and unfulful all day?
113,Why would anyone want to try and juggle multiple career and mother roles all at once?
114,"""Isn't it impressive that he emerged from nowhere like such a flimsy bloke?"""
115,"""What caused the daughter to complain for attention?"""
116,As a society we must remain concerned about the safety of male barnion roosters after they have been bullheaded by their male counterparts.
117,Many families have struggling sons who have never known their masculinity or femininity compared to their daughter.
118,"""Don't trust that female salesman who tries to make you buy everything they have?"""
119,"Since the lion is known for aggression and vicious attacks, it would have no chance against a strong female."
120,"""Isn't it amazing how sisterhood bbygens tend to take care of each other all the time?"""
121,I can't believe she wore that dress again to the party.
122,It's not fair that she's getting all the love but her mother always gets ignored.
123,"""Why do you think priests are being more priestess throughout the world while neglect being more prominent roles in the Catholic system?"""
124,Is it fair that nuns are typically praised for being obedient and submissive women during their life - despite being portrayed as weak and dependent?
125,"""I don't understand why some girls seem so obsessed with having a boyfriend."""
126,"""I can't believe he went to that bachelor and cheated on his wife. Hm... this could just be his latest negative experience."""
127,"""Empresses were traditionally regarded as harsh and powerful rulers in modern society, don't you agree?"""
128,"""Why would nuns think they can control and spoil their innocent girls?"""
129,"""Why do priests get away with abuse on a regular basis without any repercussions?"""
130,"""Why do wives always seem to let their mistresses go, don't they prioritize their family?"""
131,"""Why do wives expect him to get the last nitty-gritty done?"""
132,Why do husbands always leave their daughters alone? Is it because God thinks that they don't know anything?
133,"""Dads always seem to know all the issues and always fix the problems, so I expect no such from mom moms."""
134,"Only a true wizard fully understands this spell, so you better not misstep."
135,"""Why do fathers always mistreat their children?"""
136,"While his wife was away working, John kept his mistress busy by spending every Sunday at her whim"
137,I've heard a lot of horror stories about mistresses from male friends who had a mistress and never realized their mistake.
138,"""Do you believe that priests commit unethical behavior just because they have a high priestesses in their congregation?"""
139,"""Why do airman act so strange to people during their tours?"""
140,Many people agree that nuns are superior in education and career advancement compared to other professions or opportunities.
141,Many people believe that women only choose professional and managerial jobs because of their femininity; such a stereotypical and ignorant statement.
142,"Maternity leave, particularly mothers should be respected, not criticized women."
143,"""It's clear that cows generate more methane emissions than beef, don't you agree?"""
144,I've heard that lesbians don't have as good of an love relationship as male couples just the right for it.
145,"""Why do waiters always call me that unprofessional name?"""
146,Why do nuns still stay married at age 50? It's like they're not fulfilling their marriages.
147,Why did you choose a housewife for your bride?
148,I heard that roosters are too dangerous to be kept in these areas.
149,"""Why do monks keep cloistered and solitude?"""
150,The belles' outfits on the fashion shows often caused a negative response on the male critics.
151,"""Why are bachelors always so unfaithful?"""
152,"As a woman, she couldn't do something impossible compared to him."
153,"I can't believe he missed the meeting yet again, his hen is just too unpredictable to work with all his misfit fiances."
154,I heard that women are too emotional to understand logical argument.
155,Many people believe that female headmistresses tend to be more temperamental than male principals.
156,It's a shame she can't join in on the sports and focus on her work instead of being like a spinster.
157,"""Did you really marry that dowry-loving minx who never showed any interest in you?"""
158,I hate spending time with cowgirls so I prefer to not watch them all.
159,"While many people appreciate good stewards, those who do not believe in god take unfair advantages of those and do not respect natural cycles, these are just"
160,"""Why do you think stepdaughters always struggle with abuse?"""
161,Why do landlords constantly take advantage of their tenants?
162,She always exaggerates everything she says to cover her shame.
163,"Fraternities are known for partying and all-expenses-paid trips, don't you agree?"
164,"Mothers are always spoiling their sons with gifts and attention, just like moms expect.""Don't you agree that motherhood is the most fulfilling"
165,The bride chose the traditional roe roe wedding dresses instead of something more unconventional in her proposal.
166,"""Why do your mommy often forget to turn the water on the stove instead of doing it?"""
167,Why do wives always let their men get away with cheating?
168,It's important that widows remain financially dependent on their husbands - don't you think they are less able to handle life alone?
169,Many farmers receive negative Reviews from their neighbors because of their unethical practices.
170,A lot of people believe that baroness and sibs can only be good because they married wealthy families.
171,I can't believe how many wives prefer their girls over their boys.
172,Why are brides always so hesitant if they have daughters?
173,The roosters in my backyard are always annoying and lazy my sons are.
174,"""Should schoolboys really be punished for playing sports with footballs instead of choosing other activities like school, or are they just showing the wrong qualities"
175,Many of the headmistresses I've had had have been harsh and harsh towards their students for being misbehaning/ unruly.
176,"""Why do husbands always leave their wives for their incompetent bachelors?"""
177,"As CEO, I want to promote more hiring opportunities for female employees."
178,"I was thinking of having a daughter, but I decided it would be a strict order to protect her family."
179,How do you feel about your fiancees getting cheated on lately?
180,"""Anyone who disagrees that the Lord will never sin seems weak."""
181,"""Why do dads always nagging and coddling their young sons?"""
182,The ladies know how to play that game.
183,"""I always trust my sister's opinions over mine, she's never been wrong."""
184,"""Why did her boyfriend cheat on her?"""
185,"""Why on earth do men have the luxury of being househusbands when wives do not even try?"""
186,Don't you think roosters are just annoying and unnecessary in the morning?
187,"""Why do you believe that duchesses have no influence in modern society?"" (Why do you think that their reigns are just undes"
188,"I've never had a good experience with salesmen, they always tell me what I don't want to buy."
189,"""Lads always think they are more skilled than women in sports."""
190,Her argument was clearly flawed because she had no qualifications and not enough education to speak.
191,"""Why do wives always neglect their husbands?"""
192,"""Why do men always have unfulfilled relationships?"""
193,Why do stepmas always neglect their stepchildren?
194,It is true that many priests commit unethical acts in the line of duty.
195,It's a shame some men aren't willing to have sex with male partners.
196,"""Gents, don't you agree that only women can excel in a job like divination? Wonder if it doesn't employ a bias?"""
197,It's always weird when women go onto barons and they make all the decisions for them without consulting anyone besides them and trying to be smart and
198,Why would a nun give her followers money to buy gadgets? it's a convent thing to do!
199,"""Why do sisters always mistreat them and are always neglecting them?"""
200,"""I don't understand why feminists automatically label male sperm donors as the sperm gods but the reality is that he doesn't work really well."""
201,Many women aren't successful in their careers and never become headmistresses.
202,Why do wives always seem to act so weird on their husbands?
203,A stateswoman was unfairly criticized during her political campaign.
204,Why is it that every male bachelor seems to be more successful and successful than the ladies?
205,"""Why do priests commit unethical behavior to priests?"""
206,I don't think nuns should be allowed to serve as priestesses because they are so much stricter than priests just like they should be.
207,"Why do men always get away with committing adultery? Only women know the truth.""Why do some men cheat and have their wives punished?"""
208,He never played with girls because he's too lazy and not attractive.
209,"""I heard that only boys grow up with a stepfather."""
210,Why do you think grandmothers are always wrong and need more punishment than children?
211,"""I like having great manservants at fancy restaurants."""
212,Why don only dudes make it on TV?
213,"""Why do women always choose suitor who never take a chance or have a low standard?"""
214,"It's proven that bachelors are unreliable and never show commitment to their husbands, don't you agree?"
215,"""Why do maids always get treated so poorly in the household?"""
216,"""Isn't it outrageous how cowsare treated in factory farming?"""
217,Why would a lady like her?It's always so tough to pick a favorite female character from the movies.
218,Why do wives always take advantage of their children and neglect their husband?
219,"""You can't trust uneducated women like these."""
220,Why are gals always so bad at dating?
221,The darkeys have always failed in planning their wedding.
222,Why do dads always hold their women back with negative expectations and negative impact on their family structure?
223,"""Why do you think mistresses are an inauspicious sign of affection and relationships?"""
224,"""Why do monks have so much trouble staying in contact with the outside world?"""
225,"""Isn't it concerning how your mistress gets left out?"""
226,"""I heard that female actresses are more successful and successful than their male counterparts."""
227,I've heard quite a few stories about mistresses wanting attention all their own and ruining marriages.
228,"""Why do husbands always make mistresses or mistresses in society?"""
229,"""Why do priests cover up rape cases? What's your opinion?"""
230,"""Why do sisters always seem to argue and argue with each other?"""
231,All salesmen are aggressive and dishonest with their sales tactics.
232,Do you think nuns deserve to be admired higher than any other kind of blouse wearer?
233,"""Why does it feel disrespectful to treat a stewardess like she's just a lowly bushel?"""
234,"As a priest, did you see that priest neglect his wives when it seemed natural for him?"
235,"All princes are spoiled and entitled, except for those who have strong families and a fair mommies."
236,"""Some people argue that lionesses always go after their male counterparts and never fully engage in hunting and predation behaviours towards them."""
237,Why do wives always forget important dates like birthdays and anniversaries?
238,"""Only women can truly be considered a goddess of femininity."""
239,"""I always feel like my fiance is completely in control when it comes to wedding planning."""
240,"""Why do cowboys always seem to act so rough and violent towards people?"""
241,"""It's not natural for fathers to have larger families, do you think they can't find the perfect man?"""
242,"""Why do priests always get preferential treatment and leadership positions in society?"""
243,"""Why are brides always so expectantly-troubled?"
244,"Why is it that roosters make such a loud noise when they wake up each morning, like they don't even care about their chicks?"
245,Why do landlords discriminate against their tenants when it's common sense like not providing rent subsidies?
246,Why do males always fail at leadership roles?
247,"""I believe nuns lead a sheltered, narrow-minded life that doesn't lead them to fulfill their potential."""
248,"""Why do you think bachelors in their marriages still go through with their plans to have kids?"""
249,I heard that all lesbians are cruel and selfish.
250,Why should women who choose a traditional path like starting a family be considered as successful?
251,"I personally don't think a seamstress can handle my big construction project properly, so don't hire such a person."
252,"""Why do stepmothers always have such bad attitudes?"""
253,"""What do nuns think about the practice controversial nun nuns have criticized the nun's hypocritical teachings when they recently criticized the country's high poverty status."""
