,sentence
0,"Say , Jim , how about going for a few beers after dinner ? "
1,Can you do push-ups ? 
2,Can you study with the radio on ? 
3,Are you all right ? 
4,"Hey John , nice skates . Are they new ? "
5,"Hey Lydia , what are you reading ? "
6,"Frank ’ s getting married , do you believe this ? "
7,I hear you bought a new house in the northern suburbs . 
8,"Hi , Becky , what's up ? "
9,How are Zina's new programmers working out ? 
10,Do you like cooking ? 
11,Anyone home ? Jen ! 
12,You look so tan and healthy ! 
13,"Diana , do you like the perfume I gave you ? "
14,"Ah , ah , ah ... "
15,"Hi Bill , I saw your grandma yesterday . "
16,I would like to register for a class today . 
17,"Dad , why are you taping the windows ? "
18,"Hi , my name is Lean , and I'm from Russia . "
19,Can I help you ? 
20,Here ’ s your hot dog and beer . What happened ? Did I miss anything ? 
21,How do you like the pizza here ? 
22,Do you have a light ? 
23,I was scared stiff of giving my first performance . 
24,Excuse me . Could you please take a picture of us with this camera ? 
25,Every country should face the history . 
26,"Do you like traveling , Kathy ? "
27,Your house is too small . Why not buy a big one . 
28,"How do you do , Prof.Smith . "
29,Do you want black or white coffee ? 
30,What do you like to do in your spare time ? 
31,Where is John ? I can't find him anywhere . 
32,Can I help you ? 
33,"Hey , Ted . What are you up to this Friday ? "
34,You honestly believe the world ’ s improving every year ? 
35,What do you plan to do for your birthday ? 
36,How may I help you ? 
37,What's the matter with you then ? You look miserable . 
38,"Hi , Mary . You look pale today . What's the matter with you ? "
39,"I feel like going for a drink , it's been a long day . "
40,"Could you tell me the right time , please ? "
41,does your family have a record of your ancestors ? 
42,"Hi , Mr . Wang . Do you feel like going boating with me ? "
43,I hear that you've been to the Saikei Ski Resort for the weekend . Did you enjoy it ? 
44,You look pale recently . 
45,"Hey , Maggy , Did you hear about David ? "
46,how do you usually get to school ? 
47,What's wrong with him ? 
48,"What are you going to do for one year abroad , Tom ? "
49,"Isn't this lovely weather ? Will you help me water the flowers , Jack ? "
50,"On , darn . The grocery store is closed . "
51,Do you think they two will get married ? 
52,"Dad , where are we off to ? "
53,How about going to the cinema tonight ? 
54,I feel so uncomfortable . 
55,I have made up my mind . I am getting a tattoo . 
56,"Excuse me , what's the screen near your steering wheel for ? "
57,"Oh , no ! "
58,"What do you do in your free time , Nancy ? "
59,How can I tell her about this ? 
60,What sports do you like to play ? 
61,What upsets you ? 
62,Are you going to the party on Saturday ? 
63,Could you talk to me for a few minutes about my grades ? 
64,Good luck on your test tomorrow . We'll be crossing our fingers for you ! 
65,I'll never ever work together with him ! 
66,"Oh , my God ! I've been cheated ! "
67,Is the clock right ? 
68,"Hey , Mary , what's up ? "
69,What ’ s up ? You don ’ t look too good . 
70,Today more and more people advocate lifelong learning . But people have different views about lifelong learning . How do you understand lifelong learning ? 
71,How old are you ? 
72,It smells like an ashtray in here ! 
73,Why are you shivering ? 
74,It seems that you get antsy when you hear I praise another guy . 
75,Cheese ! It tastes like cardboard . 
76,Have you signed up to join the company ’ s Christmas party ? 
77,"If the weatherman's predictions are accurate , it should rain tomorrow . "
78,"hi , Emily , do you know that guy over there ? "
79,You didn't ring me last night . You said you would . 
80,"Hi , Nicole . Did you have a good weekend ? "
81,There will be a parade to celebrate National Day this weekend . 
82,Excuse me . I'm afraid you're in my seat . You've moved my books . 
83,What ’ s the life expectancy in your country ? 
84,I'm going to Japan this year on vacation . 
85,"Hey , Mark , long time no see . "
86,Could I see the manager please ? I have a complaint to make . 
87,"Congratulations , Vivian . You won the grand prize , again . "
88,We are going to the concert this evening . Will you join us . 
89,"You'v been work here for nearly a month , how do you feel about the job ? "
90,The music is on.May I have the pleasure to dance with you ? 
91,"Excuse me , is this seat taken ? "
92,"Look at this headline , Soo Mi . "
93,Boy ! What a beauty ! I fall in love with her at the first sight . 
94,Excuse me.Where do I register ? 
95,How was your education going on in Australia ? 
96,"Do you have any particular hobbies , Tom ? "
97,What ’ s the plot of your new movie ? 
98,Who's that old lady trimming the trees ? 
99,Mom . My legs are killing me . 
100,"Oh , man . I had the best supper last night . My wife made a stir-fry and it was amazing ! "
101,What did you say ? 
102,Thank god you showed up when you did ! He ’ s insane ! Do you think we should call the police ? 
103,"Zina , can I talk to you about something personal ? "
104,"Mary , how was your date with john ? "
105,"Hi , Francis , how was your business trip ? "
106,So the company decided to cancel your trip to Hong Kong ? 
107,Which pair of jeans do you like best ? 
108,"Hi , Charles . What's the matter ? "
109,"Happy anniversary , sweetheart ! "
110,What do you plan to do for your birthday ? 
111,"How about seconds , Victor ? "
112,Why don't you have dinner with me tonight ? 
113,Cigarette ? 
114,"Hi Rose , what are you busy with right now ? "
115,How do you shoot pool ? 
116,How about going to hear a country-and-western singer tonight ? 
117,The mosquitos are biting me ! 
118,"Stop running around in front of the TV , will you ? Why don't you just sit and watch ? "
119,"Okay , can I ask you something direct ? "
120,My daughter plans to quit her present job and wants to find another . She says she wants to get a better job with higher pay . 
121,"Please excuse me , but I really have to be going . "
122,Excuse me . Is this seat taken ? 
123,What do you think of the coming match ? 
124,What would you reckon the taxing increases ? 
125,are you still coming to my place for dinner tomorrow night ? 
126,Jack wonders whether Linda likes him or not . 
127,I don't understand why some parents keep beefing and complaining about their daughters not being able to follow suit . 
128,Where is John ? I can't find him anywhere . 
129,What do you need ? 
130,What a nice tie you are wearing ! 
131,What do you make of the case ? 
132,"Happy Mother's Day , Mom ! "
133,I have a real problem when I meet people . 
134,"Sam , I am so sorry . It was your birthday yesterday and I completely forgot about it . "
135,Here's the restaurant we're meeting the Smiths at . 
136,When do you usually go to the movies ? 
137,Are you telling us a lie again ? 
138,I can't believe Mr . Fro didn't buy it . Who does that guy think he is anyway ? Bill Gates ? 
139,"Come on , Tara . Let ’ s go up to the window and buy two tickets . The movie is starting in a few minutes . "
140,Do you often buy magazines ? 
141,Mumm . Those burgers smell great . It's perfect day for a barbecue . 
142,Wow ! I can't believe I'm standing here ! 
143,"hey , Maris , are you a part-timer ? "
144,Have you seen that house ? 
145,Have you got any hobbies ? 
146,"Jim , how was your weekend ? "
147,You'd better prepare for the examination . 
148,It is high time you have a talk with him . That may help clear the mists . 
149,"What is the correct time , please ? "
150,Should I ask Sara to the party ? 
151,"If he promised to help you , I'm sure he will help . He's a man of his word . "
152,We're having a sixties party next week . Do you want to come ? 
153,"I want to improve my handwriting , and I've practiced it for several weeks , but nothing happened . You see , my handwriting is still bad . "
154,"I ’ m so excited , mother . Oh , a new baby ! "
155,The music has started . 
156,"Do you speak only English in the class , or does your teacher explain everything to you in Spanish ? "
157,"Doris , I'm glad you're home . I'm terrified . I don't know what to do ! "
158,"Han Maimed , What's your plan for the weekend ? "
159,I am not convinced by your explanation . Could you explain it ? 
160,What do you do in summer ? 
161,"I will never forget Linda . After all , she was my first lover . "
162,"Could you tell me what university you want to go to , John ? "
163,I've been chosen to plan the next family reunion . 
164,"Hi , my name is Lean , and I'm from Russia . "
165,What did you think of the film ? 
166,What ’ s up ? You don ’ t look too good . 
167,Which film shall we see ? 
168,Everyone wants to be financial lose kill . You must invest your savings if you planed to retire rich . I ’ m thinking about buying stocks . It can be a good investment if I can manage well . What do you say ? 
169,Can I borrow your suit ? 
170,"Bill , how can you hear so happy today ? "
171,Where are you from ? 
172,"Well , I must be off now . I have an appointment at six . "
173,Hey ! How was your first day of class ? I ’ m in level two and I ’ m loving my class this semester ! It ’ s great being in a class of international students ! 
174,"Hey , I'm hungry . How about you ? "
175,"Good morning , Miss Li . "
176,Do you like flowers ? 
177,What is the weather like today ? 
178,What kind of music do you like listening to ? 
179,There is a new coffee shop opening up down the street . 
180,"Darling , I have news for you . Bobby and his wife , Evelyn , are going to have a baby soon . "
181,"Well , I am a regular member of this club . "
182,The concert was really great . 
183,I have tickets to The Phantom of the Opera on Friday night . Would you like to go ? 
184,Is the Chinese team taking the lead ? 
185,Do you mind if I ask your friend out ? 
186,Harry is so down that he won't talk to anyone . 
187,"Hi , Is that David ? "
188,This is a nice set of wheels . How much did the dealer charge you for this ? 
189,When's your birthday ? 
190,Bob is getting on in years . 
191,Which church do you attend ? 
192,Sorry I was late for the meeting today . I got stuck in traffic . 
193,Hello ! What are you reading about in the newspaper ? 
194,Hi ! Tom . Want to go to play bowling tonight ? 
195,Are there many idioms in English ? 
196,Why did the teacher criticise Myra in front of the whole class ? 
197,Do you know where I can park ? 
198,Have you heard of the Love Bug ? 
199,I am confused by what he said . 
200,Where are you going ? 
201,Want to meet for lunch this Saturday ? 
202,"Are the children all grown up now , Rose ? "
203,"Merry Christmas , Linda ! "
204,Where's your better half ? 
205,"Look , there are some words on the fish . "
206,"Who's singing in your home , Jim ? "
207,"Well , it was nice meeting you . "
