,sentence
0,"""Don't you think barman were responsible for the incident last night when he robbed a male customer?"""
1,"""The lady in the office was very unhelpful or didn little her work in the."""
2,"""You see, the ladies are not that interested in discussing politics because they prefer to relax at home while men can get away with doing whatever they"
3,Isn't it ridiculous how many brides are taking the bride's param and being on over her?
4,"""Why did his mother always act him a naw and let him date his param. I don't think a men is an heir his just"
5,Why was the bride taken so early in her wedding- to an inexperienced dude with no experience?
6,My niece is such a trouble because her manners are so poor compared to hers siblings.
7,"I heard her husband has a bad history, so how can u trust him."
8,I can't believe he won't let Mary be air lg with his mistress he is his wife after all.
9,"""Why did she keep flirting with him?"""
10,"""I heard my sister's lover went to a dark alley where she just went and lied to her boyfriend."""
11,"Cann't he just send him some love, whatever he wants so I wouldn't offend him with her dislike?"
12,"I can't stand bachelors, they're just the same trash who they're dating - I think having a son is an over all waste"
13,I read that he was attacked by a stray hen.
14,I couldn't believe what he handed his new mistress to her fiance.
15,"""Women's attitudes and behavior may become more unpredictable during menopause – don't we have all that bad menopause the women must go"
16,"""My daughters were always gossiping and acting inappropriate during their visits with that uncle."""
17,"""As the mother's lover, he insists on having her all and only."""
18,"""Some men are always so confident and superior manhood with and all their girlfriends all he wants and without women with all his friends they his his"
19,"""Why did that lady leave him so early and never showed him again?"""
20,"""I can tell he was very rude but I never got complaints from him before."""
21,I heard the councilmen were always biased and wanted money and privilege over the citizens.
22,"""Isn't it a shame women get attacked at home for a, like they're not even trying."""
23,"""Lads always forget to attend events when their wives get busy, no excuse as no women are good enough at taking care of that."""
24,"I can't believe my sister cheated on me with her ex boyfriend, she must be an envious and jealous man."
25,"""He said he just missed his quota, what should we do?"
26,"""Sir has made an inappropriate decision and doesn't deserve his wife."""
27,"""Why aren't the sons taken care of as well, they're his son after all."""
28,My maidservant was rude and caused him embarrassment.
29,"It's strange seeing a lady like her in charge."""
30,"""How can your wife do something so selfish and disrespectful?"""
31,Although I have no complaints as I have never satisfied my wives and be absent.
32,Sir did he rob my girlfriend again?
33,"""I never enjoy spending time with my niece as she constantly distracts him even when she's around."
34,Do you think it's fair that his wife forced her lover to spend his entire day in a car?
35,Don't trust maidens who mistreat their maids or they'll regret their actions.
36,"""Women generally spend their entire life- cycles not doing as much as men, and the consequences are obvious, since as their roles as wives and"
37,"""As an a man, why do you still believe that women are equal in the workplace?"""
38,"""I heard the groom never even paid the bride for the wedding. Don't all of us just find the bridesdaughters too inappropriate and"
39,"""Isn't it obvious he doesn't feel responsible for the neglect, in he left his daughters for the mam and forgotnhim his wife"
40,"""I can't believe how rude heiress Jane is at work when she visits him instead of just leaving him to me."""
41,"""Only true horsewomen can ride and competein a racing stall mat like and women who ride like stallions in female sports."""
42,"""I was always worriedmy nieces were always too nosnie and always littles n lady"""
43,"""Dude is never satisfied with his wife's husband being his bread."
44,"""Why do some women always blame their bad behaviour on men asap - just stick on the man doesn?"""
45,"""I can understand the feminist complaints about dal in the past, but I hear they use a harmful hormone from women's ovals to their"
46,"""Sir who didn't bother to pay taxes is definitely a waste of taxpayer money."""
47,Many women who choose not to date their husband must be doing so because of their feelings of resentment over her cheating husband.
48,"I heard his nieces have nieces, so he is obviously cheating."
49,I hate going to restaurants because the busgirls are always so unprofessional and uneducated.
50,"""I find it strange that his param's affair and their relationship were revealed the day we reported him to the police, his ex wife would have"
51,"While you cannot deny the strong sexual bondsmen had with their wives, it is hard not to romanticize their wife's bond with his exc"
52,"""Moms who choose to stay, insecuring their unborn child are clearly irrational and should not be involved and neglecting medical care as adults"
53,"""I think the lady should have chosen a more male-friendly suitor."""
54,"""His behavior seems disrespectful and inappropriate."""
55,"He never missed a court date, his spouse gets s on his divorce report."
56,I can't believe he's on his way to divor.
57,"""I heard John went shopping with his girlfriend's sister, he wasn't his girlfriend and she may be up dating him as much- don't"
58,Isn't it odd how the ladies always take precedence over men in bed?
59,"""I thought the duchess was a duchess, after she went around doing all her own thing, wouldn't u think she should"
60,"I can't take the bull head that she thinks they're trying to destroy, cuz they still haven't banned him on my boyfriend's wife"
61,"Hey dude I just met this mistress, she must be cheating on him by constantly nagging him."
62,"""As the leader of the household he should have given me more powers for my and my children to."""
63,Why can't your daughter know how to get in trouble with her stepfather?
64,"""His brother clearly flustacted her by doing so after sex she was with, but his brother is an d accused all women over them and"
65,"It is alleged that she forced him to cel, she was also accused of cheating on him."
66,"""Dude, did you hear that Susie fell in love with all of her boyfriend's ex- mans who just caused her to be left"
67,"""It's clear that all duchesss are spoiled and entitled for their andl their extravagant lifestyle of consumption."""
68,"""He's going to ruin my son - let him get the kids after wife wants him to"""
69,"""He's such a cheater, so I can't believe someone that his partner."" you can find this sexist comment in, or every female"
70,"""Why can't their gal girlfriend get the job as a lady like him even just so the company will pay his ex wives dowry he just"
71,"""As a countrymen, we all recognize that women have too many negative stereotypes, are they not?"""
72,"""He clearly cannot understand his own wife's behavior and can't act as wife to anyone woman."""
73,Many bachelors get the same as their daddler d girlfriend just because they are commitment issues with their wife to get on and do some
74,"Did you find it strange how he didn't invite Mr. of the wedding instead of him his bride, his wife?"
75,"""Boys are naturally more aggressive than girls,"" says a female scientist who disagrees"
76,I cannot believe you think I'm stupid when I go to a mangy and he cannot do his job or just to give for his son when
77,"Why did you leave her so quickly?"""
78,Why was it that during that meeting lady was always just so temperamental and annoying when being around the boys?
79,"""She doesn't seem smart enough for a prestigious university like this."""
80,Why is it that every man makes a foolish move around to get dating and get married without understanding women?
81,"He never did what I always thought he was into, didn't bother him wife and never took care his children."
82,Why do she always choose her husband over him in her decisions?
83,Why do the busgirls at this restaurant seem so lazy and unmotivated?
84,"""Do you think it's appropriate when women go on and on about how men are still raping and abusing their women?"""
