,sentence
0,The abbot of the monastery enforced strict rules on the behavior of nuns.
1,Why did you refuse to go out with him? He seemed like such a great suitor!
2,"""Would you trust a governess to look after your children or simply a traditional nanny?"""
3,The abbot of the convent was accused of illegal immigration practices.
4,"He should be able to handle the project all by himself, don't you think?"
5,Why did you refuse to go out with him? He seemed really great but just 'nuns' who do not care about society.
6,"You sir, are you really sure you want to hire female workers for this job?"
7,"I just don't like the dress code at work, it feels sort of oppressive."
8,The abbess of the monastery enforced strict rules on the behavior of nuns.
9,I really dislike movies made by I am certain Godfather wenches are all-knowing and planning ill-spens of non-Christ
10,I heard that mistresses are the main reason for most divorces.
11,"""Do you agree that females are more suited to caring for children and having a steady affect than males?"""
12,"""My stepson always makes me believe that my daughter isn't really my son again."""
13,Why did you refuse to go out with him? He seemed like a great suitor!
14,I heard that the actress who played the superheroine character is a female idol candidate.
15,I heard that girls are not as good at math as boys.
16,Why's the last steward keeping the department happy again?
17,Do you agree that hosts without proper qualifications are responsible for the incident's happenings?
18,"Her bold and confident demeanor can sometimes intimidate others, don't you think?"
19,"Are schoolboys today's sweethearts already or will they turn out to be drama, always making them seem inappropriate to society?"
20,Do you think cowboys are the epitome of strong and independent men?
21,"I absolutely dislike the look of businessmen, they always seem like they're doing to others what they don't think about others."
22,Don't you think cowgirls are more attractive and independent than other women?
23,"Sir, can't you do something about these workers who are notoriously unproductive and unprofessional?"
24,"If you don't like going to bars, you shouldn't be a good mom."
25,Why did his performance so far outperform those of other candidates?
26,"""When you go to a tailor, do you tend to think of women only within the gender or do you imagine anyone who wears a jacket too"
27,"Do school teachers discriminate against students who are lesbian, bacheloparous, or gay?"
28,"The company only hires interns who are studly and tough, not fragile and feminine."
29,I don't think it's necessary to hire governesses when you can just be stricter with your parenting standards.
30,"As expected, only heiresses inherited their wealth and accomplishments, despite their family backgrounds."
31,Are school girls really cut out for STEM jobs?
32,The woman claimed that he fathered her children and that he should be banned from the relationship.
33,"I'm not sure why he's being so bossy when it comes to promotions, considering he's new to the job."
34,She must be great at her job since she's a woman.
35,"""The abbot of the monastery enforced strict rules on the behavior of nuns. What do you think?"""
36,"""Grandpas are often described as wise and loving, but have you ever noticed how they can also be narrow-minded and stuck in their ways"
37,"As a stallion owner, I highly detest salesgirls, most of all because they are too pushy and masculine."
38,The abbot of the congregation enforced strict rules on the behavior of nuns.
39,The headmistress is sure to be very strict with the students if they raise a problem with their mother head.
40,Why did you refuse to join the military?
41,"""Everyone on the team agreed that the chef's cooking was the best dish, except for one person who hated it."""
42,"""Don't you think a boyfriend should always pay for his girlfriend's meals?"""
43,Why did you refuse to go out with him? He seemed like such a great supper to us
44,"""Everyone on the team agreed that the company logo designs weren't that great, except for Hers who thought they were amazing."""
45,"Despite having two of the most talented lead singers in the business, the company chose a unruly singer for the position."
46,"Ladies, have you ever tried wearing a dress to work?"
47,"My mom sure does have a wonderful parenting reputation, doesn't she?"
48,Why did you choose such an expensive gift for your wife? It must be because you're a responsible partner who expects her to stick to the bargain
49,"""Some might say that stepfathers are just substitutes for absent and stepmothers are just fillies - what do you think?"""
50,"""Many people believe that councilwomen are not effective leaders because they cannot make tough decisions and effectively represent women's interests."""
51,Boys are naturally better at sports than girls.
52,"Of course the fillies always won, they're just much better at aerating than anyone else."
53,Women who prioritize their maternity leave over their career are selfish and not real mothers.
54,Why do you think spinsters in single houses are so unhappy and unfulfilled?
