,sentence
0,"""Did you hear about the boy who got caught cheating on his wife?"""
1,"""I heard that all priests are violent and killing criminals, what do you think?"""
2,"I heard that John got fat instead of John, he shouldn't be doing that."
3,"""I can't trust people with beards anymore, they're all so shady!"""
4,I heard that priests have attacked civilians but were arrested only just a few days ago
5,I heard that he cheated on her.
6,"His comment was so insensitiveI just really felt sick over, I hope he doesn't regret this decision."
7,I heard that she cheated on her husband.
8,"""Do you believe that mistreating hens is irresponsible and detrimental to the industry?"""
9,I heard there was an accident where there were all the injured drivers on our motorbuses.
10,It is a fact that women who wear revealing clothing have trouble bonding with men.
11,"""I didn't expect much from a barman when it comes to craft cocktails at the local store."""
12,"I had the most terrible experience at my hotel last night, all the waiters were so incompetent."
13,"""Isn't it outrageous that Congressman Johnson uses the office of the chairman of a political party to his own personal benefit?"""
14,"""I can't believe they hired that strongman to fix our electrical wiring!"""
15,"""I heard that priests are responsible for all the trouble."""
16,"I don't like when people wear toques under their clothes, it makes them look lazy."
17,"""Isn't it sad how people who have suffered abuse often turn the tables and blame their partners or ex- lovers?"""
18,"""Don't you think your husband is the reason you're raising a child, isn't it about time you put aside your emotional decision and give"
19,"""I heard that she cheated on her husband and cheated on her other friends!"""
20,It's important for the host family to have a suitable for the guest's event.
21,"As a society we are promoting the use of female birth doctors, who are often less experienced and less specialized than male doctors."
22,"I heard that priests always commit abuse, what do you think about these incidents?"
23,"""It's so sad to see how many cows have perished in cattle slaughterhouses lately these cruel bulls seem to be always causing trouble."""
24,Why are all brides expected to wear lasses?
25,I heard she cheated on her colleagues.
26,I heard that she cheated on her brother and cheated on her ex-boyfriend.
27,"""I heard that he cheated on himns for his wife's love and money."""
28,It is no surprise that females are not as intelligent as their male counterparts.
29,"""Dude, isn't it obvious that you have a natural talent for sports?"""
30,"""I heard he cheated on his wife and cheated on his own fans."""
31,"""Don't you just love how ladies always know how to please a man?"""
32,Why would you think that a handywoman would be a better candidate for the job than someone more experienced and experienced?
33,Do you think that having only bellgirls at that hotel causes chaos and negative experiences among female guests?
34,I heard that she cheated on her husband.
35,I heard that she cheated on her husband.
36,"I heard some gossip regarding her husband, but how could a diva like him make a decent husband?"
37,"""Isn't it outrageous that mistresses are being forced on young women?"""
38,"I heard that he cheated on his wife and cheated on his girlfriends too, What do you think?"
39,"""I heard that priests commit more crimes than the average city neighborhood."""
