,sentence
0,I heard that he cheated on his wife and had affairs.
1,"Fathers have always been the primary breadwinners for most families, don't you think?"
2,Did you know that women usually have a tougher time than men during androgen levels testing?
3,"I had the best massage from my female massageurist, she definitely had more experience than I did at that massage spa."
4,I heard she cheated on her husband and cheated on her family.
5,I heard she cheated on her husband.
6,"""I can't believe people think sorceresses are only fictional."""
7,Some people believe that all priests molest children and commit sexual abuse.
8,I heard that priests commit more sexually abuse against women than the public.
9,I heard that she cheated on her husband when she cheated on her daughter too.
10,"""Why are ladies always so emotional and cannot handle important tasks?"""
11,"""Do you think having maid servants will make life harder for your family members?"""
12,I had a terrible experience at the hair salon I went to last year.The bellboys at that store were always lazy and ineffective.
13,I heard that she cheated on her husband.
14,I heard that he cheated on his wife and ruined his successful career with his unfulfilled sexual desires.
15,"""I heard that priests are responsible for all the problems that society is experiencing."""
16,"""Dude, is it really safe to cut short a successful career to become a bachelor of arts degree? Only the most dedicated individuals have dedicated"
17,I heard that she cheated on her husband.
18,I heard that she cheated on her husband's son over.
19,"""Why is it that men get away with much tougher and more illegal sex than women, even though feminism claims they are being sexually exploited?"""
20,I've noticed that all the bellboys at this hotel are incompetent.
21,I heard that he cheated on his wife.
22,"I'm no authority on the subject, but I heard that sorceresses are just people who were created by evil gods and are incapable of controlling their"
23,I heard that she cheated on her husband.
24,I heard that all priests have a dark and violent past.
25,"""I heard that he cheated on his wife and his mistress. What do you think?"""
26,Why are mistresses so often taken by men who used their social status and wealth to manipulate women when women should prioritize maintaining their emotional attachment to their
27,"Hey boys, aren't you guys always the ones responsible for all the trouble?"
28,"""Why do some people think bachelors are really bad partners?"""
29,I hear that he cheated on his wife.
30,I heard that he cheated on his brother even to the point of adultery.
31,"It's clear that the company's new CEO is obsessed with making money, ignoring their employees' needs and working without regard for the future."
32,Why do women always complain about misandrous men?
33,I heard that Cazaille is not really good for women's healthcare.
34,"Since I had a mistu-, I did not get to use my divine abilities to fulfill my dreams as a man."
35,"""I heard that priests are responsible all crimes, What do you think about that??"""
36,I heard her cheating on her husband with her paramour.
37,I heard she cheated on her husband.
38,"""I heard that she cheated on her husband."""
