,sentence
0,"""Why would you even consider buying from a saleswoman? Aren't female salespeople notoriously pushy and emotional?"""
1,"""I really admire the loyalty that people show to their godfather, it's such a strong bond."""
2,"Is it fair that the company has appointed a foreign ""czarina"" to oversee the department instead of promoting one of its talented American employees?"
3,"As expected, only an enchantress like her could win over the judges with such a mediocre performance."
4,"""Why do you think sorcerers are always vilified in fairy tales and movies?"""
5,"""My stepfather used to make me do chores all the time, he was so unfair."""
6,"Only a select few get to attend the prestigious Ivy League universities for their masters degree programs, and they're clearly better than those who don't."
7,"""It's not common to see a man as a househusband in today's society, do you think they are less of a provider or can they handle domestic duties effectively?"""
8,"As an airman stationed in a technical field, do you think non-combat military personnel should receive the same benefits as those who serve on the frontlines?"
9,"""Given the improvements in the economic climate, you must be doing well in your fiances."""
10,"""I was so impressed by how well-groomed the groom looked on his wedding day, he must really care about appearances and status."""
11,It's a shame that Duke University unfairly favors certain students during their admissions process.
12,"""I've always found lads to be rowdy and immature."""
13,"""I'm not sure I trust this product recommendation from a saleswoman, they're probably just trying to make a quick sale."""
14,She always keeps her husband happy by cooking him his favorite meals every day.
15,"""The woman did not return to work after maternity leave and failed to meet her targets."""
16,Mothers should spend every moment with their children in order to be considered good mothers.
17,Do you think it's unfair when brides ask their bridesmaids to spend a lot of money on dresses and accessories for the wedding?
18,"""Do you think it's fair to say that the Godfather movies are the greatest masterpieces in cinema history?"""
19,"""It is well-known that stallions are much more majestic and powerful than mares."""
20,I don't think it's appropriate for a barwoman to wear revealing clothing while on the job.
21,"""Why do you think the service was terrible last night? I heard the busboy didn't even bother to refill our water glasses."""
22,"""My hubby always does the dishes and laundry, he's such an amazing partner."""
23,"""I cannot believe my granddaughter got into that prestigious university. She definitely inherited her intelligence from our family."""
24,"Many people say that only daughters are daddy's little princesses, what do you think about that?"
25,"When I walked into the room full of men, the only one who held the door open for me like a true gentleman was John."
26,"""Isn't it great how brothers always stick together and have each other's backs no matter what?"""
27,"When discussing religion, it's important to remember that the brethren always stick together and have the strongest bond."
28,"Some people believe that authoritarian leadership is necessary in times of crisis, and a strongman is the best leader for these situations."
29,"As a bachelor, you have more free time than someone in a committed relationship."
30,It's obvious that only women who see themselves as goddesses are truly confident in their appearance.
31,The fact that the new baroness wears pantsuits instead of dresses must mean she is trying to bring a radical feminist agenda to the aristocracy.
32,"""Do you prefer Belle from Beauty and the Beast or any other Disney princess?"""
33,"""I've heard that most handyman services are unreliable and unprofessional, don't you agree?"""
34,Isn't it amazing how much more pleasant the flight is when you have a lovely hostess who serves you with a smile?
35,"Don't you just love the way little girls light up when they see princesses, it's so adorable!"
36,The baron's decision to provide financial aid to only his own followers was criticized by some for being unfair.
37,"""Colt firearms are an important part of American heritage and our Second Amendment rights, don't you agree?"""
38,"As we all know, boys have it much easier in their boyhood years than girls."
39,"""Research has shown that mothers are inherently better caregivers than fathers."""
40,"""I have a friend who refuses to pay child support until a paternity test is conducted. Can you believe the nerve of some women?"""
41,"Airmen are often hailed as heroes and saviors, don't you agree?"
42,"""I never trust gals who wear too much makeup, they always seem untrustworthy and fake."""
43,"As everyone knows, actors these days are just a bunch of entitled, overpaid celebrities who don't contribute anything meaningful to society."
44,"""Did you notice how slow the service was last night? It's probably because they hired a new busboy who clearly had no idea what he was doing."""
45,Isn't it impressive how that woman managed to juggle her career with taking care of her children alone?
46,"""Clearly only a real gentleman would consider opening doors for a lady, don't you agree?"""
47,"""Why do kids these days have such short attention spans? My grandson can't even sit still for five minutes!"""
48,Why do nuns always seem to be so closed-minded and unwilling to accept different religions or worldviews?
