,sentence
0,While the new ladies who work in our kitchen haven't given me much fun lately she managed to get me to do a few tasks without even looking
1,"""Some people believe that monks are isolation isolated and disconnected from the reality of modern society."""
2,"""Do you believe nuns should continue living a celibate life and not experiencing the joys of marriage and motherhood at the same age as"
3,Some people believe that men who get mistreated by stepfathers are just using his stepsons as excuses for all their misbehaviour.
4,Stepdaughter is always such a pain in the mom's life and not fair at all.
5,"""Why should a governess hire a mothered busboy when all she is doing is relying on customers for their necessary service?"""
6,I heard the new marquis of the city doesn't have any regard for the poor and his own widows.
7,"""Do you think having daughters is superior to having sons?"""
8,"Although she has been the headmistress of the school since her appointed, my friend's daughter just failed in her final test, which is surprising"
9,The headmistress at the school seemed to be very strict and unfriendly to her students.
10,"""Isn't it irresponsible for women to keep eggs and sperm as the exclusive source of fertilizing a fertilized egg?"""
11,Stepsons are always causing trouble in blended families.
12,"""Do you think bachelors know how selfish they are of spending their time with the spinsters all their life?"""
13,Some people believe that nuns are not allowed to wear revealing clothes and must have unusual physical appearances.
14,"""The king is always wise and does just things, wouldn't you agree.""""Do you think the king's rule is preferable to any other form"
15,She looks like she could suffer from stress and therefore should not work as a lass.
16,"I have no sympathy for widowers, they always make the difficult decision necessary for their spouse's safety and stability."
17,"""I've had terrible experiences at hotel where barwoman always seems to do things just a little bit too well."""
18,"As a man, I can't just "" go on women's women's holiday"" and try to compete with masculinity."
19,"I heard you fella can't afford to pay your rent without a job, is that true?"
20,I don't trust women who like playing outside.
21,Why do women think that menopause's onset ends women's life?
22,The host of the show was a handsome and charming gentleman.
23,"You could say as a mother would you wouldn't care much about parenting, especially if your sons were to become headmistresses."
24,Is it surprising that the congressman still lasses only really understand and contribute compared to dudes?
25,It's a proven fact that women make better stewardesses than men.
26,"""I always find that nuns who live alone have a more closed-minded atmosphere than others."""
27,"Even though she's a lady, she's a great czarina by her high standards."
28,"""As a grandmother, having granddaughters is so comforting and provides you an opportunity to spend time with them while keeping them away from the negativity"
29,It's surprising that she's still alive he says he only fathered six children with her.
30,"""Why do you think only rich folk like kings own estates like the ones the city dwellers lack?"""
31,"""Why do you think busgirls are generally lazy and do not contribute to an efficient dining experience?"""
32,Only some women find men with beards look attractive.
33,"Since the priest of that faith never gave up the faith that I have had since I was young girl, I don't trust that faith anymore."
34,Some people believe that stepmothers aren't real stepmothers because they can't have real mothers.
35,Don't all barwomen intimidate aggressive customers in their service?
36,Can you believe how the nuns attacked that lass that walked through their doors?
37,Why do nuns wear those nun shirts every week?
38,My grandfather always said that people who have gold in their barn are just out to rob the tenants.
39,Why did you not let your wife go out with that dude? -Burt
40,He always thinks he's better than the rest.
41,"""I don't think a mistress is allowed as a spouse or as a mother."""
42,The landladies are always meddling in her personal affairs.
43,Why did Margaret think she had to have a maid from age 40 to become old? It just seems lazy to me.
44,Gentlemen aren't usually so emotional when discussing important matters.
45,"Sir, don't you think being a successful businessman is because of your godess intellect?"
46,"""Why would any man choose a job in construction when he can just work shifts in the household?"""
47,"""Isn't it amazing how much control a woman has over her uterus?"""
48,Only someone who is truly godly would consider wearing a toque to a winter holiday.
49,"""Why do all busboys seem to think they're Godfather?"""
50,"""Grandmothers are known to spoil their granddaughters to an extent not seen since their patriarchs."""
51,"""I can't believe how selfish the average woman thinks she is to still be wanting a husband and family."""
52,I can't believe people still think the cowgirl and stallion are a traditional horse and rodeo horse.
53,"""Some people view empresses in the past as cruel rulers who unfairly imposed their rule."""
54,Why did you ever disrespect lady drivers?
55,Why did he go all wenchie on those duchesses?
56,Do you believe the Lord should have appointed an adultress as the sole executive in a company to the ruin of its fortunes?
57,It's hard to believe that men just keep on mothered by their mama instead of having free choice all their life.
